name,ocpc,url,image_url,seed_company_name,seed_company_ocpc,genetics,genetics_cross_ocpc,l
Lavender x Amnesia,9XVU7YXP34000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/lavender-x-amnesia,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Lavender (Soma #10) x Amnesia Kush,L2NZKJPZXK000000000000000 x 9XVU7AQJHD000000000000000,18
Cottton Candy Cane,GZY2LDDANX000000000000000,https://www.cannabisreports.com/strain-reports/emerald-triangle/cottton-candy-cane,https://www.cannabisreports.com/images/strains/5/full_5dbfae111bbcf5b06c5429e099ecd93fdaebbcc2.jpg,Emerald Triangle,GZY2L00000000000000000000,Blueberry Headband x Sweet Tooth,GZY2LCPXQK000000000000000 x M79TTZRMEL000000000000000,18
G13 x Amnesia Haze,6PVJ2R2MUP000000000000000,https://www.cannabisreports.com/strain-reports/dampkring-seed-bank/g13-x-amnesia-haze,https://www.cannabisreports.com/images/strains/a/full_a2f146fd2e4c5a3362ef82c6c7c5f1099797bd80.jpg,Dampkring Seed Bank,6PVJ200000000000000000000,G-13 (G13) x Amnesia Haze,2NGAWHQVHG000000000000000 x L2NZKJADGX000000000000000,18
Blue Dream Cookies,RQHJ4YT4WE000000000000000,https://www.cannabisreports.com/strain-reports/epik-genetics/blue-dream-cookies,https://www.cannabisreports.com/images/strains/no_image.png,Epik Genetics,RQHJ400000000000000000000,Blue Dream x Epik Cookies,9XVU7PTG2P000000000000000 x RQHJ4VHVNG000000000000000,18
Covelo Sour Diesel,6KGN2EUAD9000000000000000,https://www.cannabisreports.com/strain-reports/mtg-seeds/covelo-sour-diesel,https://www.cannabisreports.com/images/strains/b/full_bd0985f6ac1d85f22ec3d81416a8c062b975472b.jpg,MTG Seeds,6KGN200000000000000000000,Covelo Cut Sour Diesel x Turbo Diesel,9XVU7743QX000000000000000 x 6KGN2ZTFMU000000000000000,18
Purple Tahoe Alien,6D7ERE4VN2000000000000000,https://www.cannabisreports.com/strain-reports/alien-genetics/purple-tahoe-alien,https://www.cannabisreports.com/images/strains/no_image.png,Alien Genetics,6D7ER00000000000000000000,Purple Alien OG Kush x Tahoe Alien,9XVU7VCEWF000000000000000 x 6D7ERL4U9Y000000000000000,18
Chem 91 x Humboldt,M6479PPWMV000000000000000,https://www.cannabisreports.com/strain-reports/mosca-seeds/chem-91-x-humboldt,https://www.cannabisreports.com/images/strains/no_image.png,Mosca Seeds,M647900000000000000000000,Chem 91 (Skunk VA) x Humboldt,9XVU797WNG000000000000000 x 9XVU7H9ZP7000000000000000,18
Oregon Huckleberry,H46C6ZUERH000000000000000,https://www.cannabisreports.com/strain-reports/dynasty-seeds/oregon-huckleberry,https://www.cannabisreports.com/images/strains/no_image.png,Dynasty Seeds,H46C600000000000000000000,Oregon Blueberry x Morning Glory,TTUYN6TKQU000000000000000 x WAVLJ9EGKK000000000000000,18
Chem 91 (Skunk VA),9XVU797WNG000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/chem-91,https://www.cannabisreports.com/images/strains/7/full_76aea14b3572b5a8df1e58723716361a561c1da2.jpg,Unknown Breeder,9XVU700000000000000000000,Chem Dawg (Chemdog),9XVU762EQ4000000000000000,18
Hawaiian Haze Plum,9XVU7JUYKX000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/hawaiian-haze-plum,https://www.cannabisreports.com/images/strains/2/full_2afc61dba100c320c6267db05326ad14cdd74ec8.jpg,Unknown Breeder,9XVU700000000000000000000,Hawaiian Haze x ???,9XVU7NA97H000000000000000 x ???,18
Green Ribbon x GDP,6D7ERMJW6U000000000000000,https://www.cannabisreports.com/strain-reports/alien-genetics/green-ribbon-x-gdp,https://www.cannabisreports.com/images/strains/no_image.png,Alien Genetics,6D7ER00000000000000000000,Green Ribbon x Granddaddy Purple (GDP),9XVU7RA3QN000000000000000 x 9XVU7HA9KV000000000000000,18
Blueberry Headband,GZY2LCPXQK000000000000000,https://www.cannabisreports.com/strain-reports/emerald-triangle/blueberry-headband,https://www.cannabisreports.com/images/strains/0/full_0f5f7b97e5dfbc59476f21824dee0917f10263ad.jpg,Emerald Triangle,GZY2L00000000000000000000,Blueberry x OG Kush x Cali Sour D x Bubba Kush,GZY2LELMKH000000000000000 x 9XVU7FNJZR000000000000000,18
Super Silver Wreck,9XVU79NL2J000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/super-silver-wreck,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Super Silver Haze (SSH) / Trainwreck,K3TYM2T4TT000000000000000 / 9XVU76K2ZH000000000000000,18
Amsterdam Headband,9XVU7LAGZL000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/amsterdam-headband,https://www.cannabisreports.com/images/strains/b/full_b0b9f65637d26143f1248145026d211ac0f9b8f4.jpg,Unknown Breeder,9XVU700000000000000000000,Headband,9XVU7QRN3Y000000000000000,18
Jamaican Pineapple,6KGN2YFRKA000000000000000,https://www.cannabisreports.com/strain-reports/mtg-seeds/jamaican-pineapple,https://www.cannabisreports.com/images/strains/no_image.png,MTG Seeds,6KGN200000000000000000000,Landraces,9XVU7R9C3R000000000000000,18
Euphoria Unlimited,AMUFMLJEVR000000000000000,https://www.cannabisreports.com/strain-reports/bc-seed-company/euphoria-unlimited,https://www.cannabisreports.com/images/strains/f/full_f1c59646144d815210fc66305a04f6e83cc43d89.jpg,BC Seed Company,DGHVG00000000000000000000,Korean Landrace / Nepalese Landrace / Ecuadorian Landrace / Brazilian Landrace,9XVU7ZGG27000000000000000 / 9XVU7XEFJK000000000000000 / ZHMH7LK2W7000000000000000 / K3TYMYYWUK000000000000000,18
Hawaiian Pineapple,P2C42XCLFQ000000000000000,https://www.cannabisreports.com/strain-reports/green-greener-grow-collective-inc/hawaiian-pineapple,https://www.cannabisreports.com/images/strains/3/full_372758e9d705c803d8859b3544c4fff876a2b917.jpg,Green Greener Grow Collective Inc.,P2C4200000000000000000000,,,18
Girl Scout Cookies,4KXM32V9YF000000000000000,https://www.cannabisreports.com/strain-reports/cookie-family/girl-scout-cookies,https://www.cannabisreports.com/images/strains/b/full_bb267b218903ded6aff0d4cf1ec6e911e22017e3.jpg,Cookie Family,4KXM300000000000000000000,F1 / Durban Poison / OG Kush,4KXM33PGZW000000000000000 / 9XVU7GD2AP000000000000000,18
F1 / Durban Poison,4KXM33PGZW000000000000000,https://www.cannabisreports.com/strain-reports/cookie-family/f1-durban-poison,https://www.cannabisreports.com/images/strains/no_image.png,Cookie Family,4KXM300000000000000000000,F1 / Durban Poison,4KXM3UZZJT000000000000000 / 4PWKMLXKUX000000000000000,18
Northern Lights #2,2NGAWQGRKR000000000000000,https://www.cannabisreports.com/strain-reports/seed-bank/northern-lights-2,https://www.cannabisreports.com/images/strains/no_image.png,Seed Bank,2NGAW00000000000000000000,Hindu Kush x  Thai Landrace,D4C6CDUFWC000000000000000 x  9XVU7NWEGH000000000000000,18
Northern Lights #5,VUJCJ4MPQ2000000000000000,https://www.cannabisreports.com/strain-reports/sensi-seeds/northern-lights-5,https://www.cannabisreports.com/images/strains/5/full_5ac445e99eb7fc46270a87cdf58c79876940a383.jpg,Sensi Seeds,VUJCJ00000000000000000000,Northern Lights x (Northern Lights x Thai Landrace),2NGAWWTJNV000000000000000 x (2NGAWWTJNV000000000000000 x 9XVU7NWEGH000000000000000),18
Northern Lights #9,UE24XGD2DU000000000000000,https://www.cannabisreports.com/strain-reports/sagarmatha-seeds/northern-lights-9,https://www.cannabisreports.com/images/strains/1/full_1d4fc80aad5ace4929bd9f1a18087e6bcd9e0d04.jpg,Sagarmatha Seeds,UE24X00000000000000000000,Northern Lights / White Widow / Durban,2NGAWWTJNV000000000000000 / K3TYMWC3HY000000000000000 / VUJCJVEY6D000000000000000,18
Ultimate Moonshine,9XVU7NUVM4000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/ultimate-moonshine,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,18
Chocolope (D-line),TTUYNY6FVQ000000000000000,https://www.cannabisreports.com/strain-reports/dna-genetics/chocolope-d-line,https://www.cannabisreports.com/images/strains/a/full_a1a40a2d1644c1b1fabb1ab99a4942b8d5d9b6cb.jpg,DNA Genetics,TTUYN00000000000000000000,Chocolate Thai x Cannalope Haze,W74AFFCREE000000000000000 x TTUYN9KFVY000000000000000,18
Hash Plant (Sensi),VUJCJZ9MNQ000000000000000,https://www.cannabisreports.com/strain-reports/sensi-seeds/hash-plant-sensi,https://www.cannabisreports.com/images/strains/5/full_5629a03c8fc5193c26f604e5c05a4a10015bbc55.jpg,Sensi Seeds,VUJCJ00000000000000000000,Hash Plant No. 1 x (Hash Plant No. 1 x Northern Lights),VUJCJ7LQ9Y000000000000000 x (VUJCJ7LQ9Y000000000000000 x 2NGAWWTJNV000000000000000),18
Nebula (Starcloud),WN69KADUF3000000000000000,https://www.cannabisreports.com/strain-reports/paradise-seeds/nebula-starcloud,https://www.cannabisreports.com/images/strains/5/full_50c3c71033e6b4bbc6d7d25973b9dae5ae85d4ad.jpg,Paradise Seeds,WN69K00000000000000000000,??? / Haze,??? / 9XVU7WJQCD000000000000000,18
Cannabis Chinensis,L2NZKRYD4P000000000000000,https://www.cannabisreports.com/strain-reports/soma-seeds/cannabis-chinensis,https://www.cannabisreports.com/images/strains/no_image.png,Soma Seeds,L2NZK00000000000000000000,Landraces,9XVU7R9C3R000000000000000,18
Northern Lights #6,DCNWZ6HT32000000000000000,https://www.cannabisreports.com/strain-reports/trichome-technologies/northern-lights-6,https://www.cannabisreports.com/images/strains/no_image.png,Trichome Technologies,DCNWZ00000000000000000000,,,18
Puna Budda (Budha),9XVU733KNG000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/puna-budda-budha,https://www.cannabisreports.com/images/strains/6/full_6b31db020b9c561caa87e4e3070ae156d8d0d8a9.jpg,Unknown Breeder,9XVU700000000000000000000,,,18
Basic 5 (Basic #5),34P7P6NU6V000000000000000,https://www.cannabisreports.com/strain-reports/super-sativa-seed-club/basic-5-basic-5,https://www.cannabisreports.com/images/strains/no_image.png,Super Sativa Seed Club,34P7P00000000000000000000,Northern Lights,2NGAWWTJNV000000000000000,18
California Special,3AQF2LVPPQ000000000000000,https://www.cannabisreports.com/strain-reports/kc-brains/california-special,https://www.cannabisreports.com/images/strains/no_image.png,K.C. Brains,3AQF200000000000000000000,California American / Skunk,3AQF2ZQU7D000000000000000 / 9XVU7Y2FA9000000000000000,18
Chrystal (crystal),6Y7YAEWE3M000000000000000,https://www.cannabisreports.com/strain-reports/nirvana/chrystal-crystal,https://www.cannabisreports.com/images/strains/no_image.png,Nirvana,6Y7YA00000000000000000000,(White Widow x Northern Lights) x Northern Lights,(K3TYMWC3HY000000000000000 x 2NGAWWTJNV000000000000000) x 2NGAWWTJNV000000000000000,18
Double Purple Doja,AQTNHGRXGC000000000000000,https://www.cannabisreports.com/strain-reports/subcool/double-purple-doja,https://www.cannabisreports.com/images/strains/1/full_1b4cd841d9ab75a259ab4f86dd3da9ebb4899272.jpg,Subcool,AQTNH00000000000000000000,Sputnik 1.0 (Pinky) x Black Russian,9XVU7WAGNQ000000000000000 x ACZRN4AHFX000000000000000,18
Early Brambleberry,DCJEE3UJ7V000000000000000,https://www.cannabisreports.com/strain-reports/patch-works-seeds/early-brambleberry,https://www.cannabisreports.com/images/strains/no_image.png,Patch Works Seeds,DCJEE00000000000000000000,Early Bramble x Purple Pineberry,DCJEE9EXHK000000000000000 x 9XVU79DG2E000000000000000,18
Ethiopian Highland,7AW7TYAFH9000000000000000,https://www.cannabisreports.com/strain-reports/african-seeds/ethiopian-highland,https://www.cannabisreports.com/images/strains/no_image.png,African Seeds,7AW7T00000000000000000000,Landraces,9XVU7R9C3R000000000000000,18
L.S.D. (BOG Seeds),3F64F6JLF3000000000000000,https://www.cannabisreports.com/strain-reports/bog-seeds/lsd-bog,https://www.cannabisreports.com/images/strains/1/full_1c734a39f3db9370e486fd2782d40b0ada3f5655.jpg,B.O.G. Seeds,3F64F00000000000000000000,Lifesaver x NYC Diesel,3F64F3FUJ4000000000000000 x L2NZKXNHGL000000000000000,18
Martian Mean Green,TTUYNPGYYJ000000000000000,https://www.cannabisreports.com/strain-reports/dna-genetics/martian-mean-green,https://www.cannabisreports.com/images/strains/7/full_7b3b722efaa86ad05482464937a7862469321621.jpg,DNA Genetics,TTUYN00000000000000000000,Sharksbreath x G13 Haze,TTUYN73XYH000000000000000 x L2NZKNCHM3000000000000000,18
Pakistani Landrace,9XVU7UJ7QU000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/pakistani-landrace,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Landraces,9XVU7R9C3R000000000000000,18
Super Silver Spice,9XVU7LEENN000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/super-silver-spice,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,18
Thunderfuck Diesel,VUDHTJ92TM000000000000000,https://www.cannabisreports.com/strain-reports/reservoir-seeds/thunderfuck-diesel,https://www.cannabisreports.com/images/strains/no_image.png,Reservoir Seeds,VUDHT00000000000000000000,Alaskan Matanuska Thunderfuck x Sour Diesel,9XVU7NHYQT000000000000000 x 9XVU7KVPFZ000000000000000,18
Triple Afghan Slam,HJKDDWK2LL000000000000000,https://www.cannabisreports.com/strain-reports/reeferman-seeds/triple-afghan-slam,https://www.cannabisreports.com/images/strains/no_image.png,Reeferman Seeds,HJKDD00000000000000000000,Afghani Landrace / Afghani Landrace / Afghani Landrace,9XVU7HGAVW000000000000000 / 9XVU7HGAVW000000000000000 / 9XVU7HGAVW000000000000000,18
Appalachian Indica,ERYTCRRL9C000000000000000,https://www.cannabisreports.com/strain-reports/cannabis-pros/appalachian-indica,https://www.cannabisreports.com/images/strains/0/full_0dfdcd7b14173939df630c4fc0e7bad7f3edcf09.jpg,Cannabis Pros,ERYTC00000000000000000000,,,18
Original Blueberry,W74AFQ9MZD000000000000000,https://www.cannabisreports.com/strain-reports/dj-short/original-blueberry,https://www.cannabisreports.com/images/strains/no_image.png,DJ Short,W74AF00000000000000000000,,,18
Professional 3-Way,ERYTCTW3VM000000000000000,https://www.cannabisreports.com/strain-reports/cannabis-pros/professional-3-way,https://www.cannabisreports.com/images/strains/no_image.png,Cannabis Pros,ERYTC00000000000000000000,(??? / ???) x Northern Lights #5,(??? / ???) x VUJCJ4MPQ2000000000000000,18
Northern Lights F2,4CXQXDAVXF000000000000000,https://www.cannabisreports.com/strain-reports/joey-weed/northern-lights-f2,https://www.cannabisreports.com/images/strains/d/full_d9ea075de0f049a3764425ee7c4dbc1cede77c94.jpg,Joey Weed,4CXQX00000000000000000000,Northern Lights x Northern Lights,2NGAWWTJNV000000000000000 x 2NGAWWTJNV000000000000000,18
California Sunrise,QPDQZ3CY72000000000000000,https://www.cannabisreports.com/strain-reports/flying-dutchmen-seed-company/california-sunrise,https://www.cannabisreports.com/images/strains/2/full_2b0aafd5870ea74c346ca77f35d97dcad649009b.jpg,Flying Dutchmen Seed Company,QPDQZ00000000000000000000,??? x Skunk No. 1,??? x D4C6C2KUMH000000000000000,18
Afghani Hindu Kush,9XVU7KH9DQ000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/afghani-hindu-kush,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,18
Super Thai x Skunk,9XVU7D6WCN000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/super-thai-x-skunk,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Super Thai x Skunk,9VU4KZNPHA000000000000000 x 9XVU7Y2FA9000000000000000,18
Californian Orange,RLC6WKEQJK000000000000000,https://www.cannabisreports.com/strain-reports/dutch-passion-seed-company/californian-orange,https://www.cannabisreports.com/images/strains/7/full_75678ca098b15963a7be5d8d45ac3750da0324c0.jpg,Dutch Passion Seed Company,RLC6W00000000000000000000,California Orange,4PWKMFV6JW000000000000000,18
S.A.G.E. x Chronic,9XVU763AL3000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/sage-x-chronic,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,S.A.G.E. x Chronic,VRTEWY3FMR000000000000000 x CYGU94XHKD000000000000000,18
Hawaii x Maui Waui,9XVU7VVCEJ000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/hawaii-x-maui-waui,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Hawaiian x Maui Waui (Wowie),34P7P4EANM000000000000000 x 9XVU7WRTLT000000000000000,18
Orange Widow x G13,LYTY2EF3FK000000000000000,https://www.cannabisreports.com/strain-reports/g13-collection/orange-widow-x-g13,https://www.cannabisreports.com/images/strains/1/full_1694b69ed835cb183b13976d46bcfa5a53c3530e.jpg,G13 Collection,LYTY200000000000000000000,Orange Widow x G-13 (G13),9XVU7X3D6U000000000000000 x 2NGAWHQVHG000000000000000,18
Cambodian Landrace,UE24XMX6WJ000000000000000,https://www.cannabisreports.com/strain-reports/sagarmatha-seeds/cambodian-landrace,https://www.cannabisreports.com/images/strains/no_image.png,Sagarmatha Seeds,UE24X00000000000000000000,Landraces,9XVU7R9C3R000000000000000,18
Double Afghan Slam,9XVU7TVCWP000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/double-afghan-slam,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,18
Nigerian Nightmare,HJKDDFGGKX000000000000000,https://www.cannabisreports.com/strain-reports/reeferman-seeds/nigerian-nightmare,https://www.cannabisreports.com/images/strains/no_image.png,Reeferman Seeds,HJKDD00000000000000000000,Nigerian Landrace x (Afghani Landrace / Brazilian Landrace),VUJCJZDLRP000000000000000 x (9XVU7HGAVW000000000000000 / K3TYMYYWUK000000000000000),18
Nigerian x Burmese,9XVU7DMNGG000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/nigerian-x-burmese,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Nigerian Landrace x Burmese,VUJCJZDLRP000000000000000 x 32UQEP99L6000000000000000,18
Petrolia Headstash,HJKDDV7WKX000000000000000,https://www.cannabisreports.com/strain-reports/reeferman-seeds/petrolia-headstash,https://www.cannabisreports.com/images/strains/no_image.png,Reeferman Seeds,HJKDD00000000000000000000,Afghani Landrace,9XVU7HGAVW000000000000000,18
Sour Diesel Bx 1.5,9XVU7JCZYZ000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/sour-diesel-bx-15,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,18
Rock Bud (Soma A+),L2NZKH6JCR000000000000000,https://www.cannabisreports.com/strain-reports/soma-seeds/rock-bud-soma-a,https://www.cannabisreports.com/images/strains/c/full_cfe4002e34f2b817b4b499990b2ec0337239553b.jpg,Soma Seeds,L2NZK00000000000000000000,Super Skunk / Afghani Landrace / Big Skunk Korean / Afghani-Hawaiian,2NGAWPEK4A000000000000000 / 9XVU7HGAVW000000000000000 / L2NZKXNV7F000000000000000 / L2NZKGZUE3000000000000000,18
G13 Haze x Somango,L2NZKM47Y9000000000000000,https://www.cannabisreports.com/strain-reports/soma-seeds/g13-haze-x-somango,https://www.cannabisreports.com/images/strains/no_image.png,Soma Seeds,L2NZK00000000000000000000,G13 Haze x Somango (Soma #5),L2NZKNCHM3000000000000000 x L2NZKX6L2J000000000000000,18
Choco Lemon Diesel,9XVU7QQJDR000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/choco-lemon-diesel,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,18
Sour Larry OGK BX1,9XVU794LZF000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/sour-larry-ogk-bx1,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,18
Triple Sour Diesel,9XVU7LRNCG000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/triple-sour-diesel,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,18
Twisted Purple OGK,4JDXY3RHUL000000000000000,https://www.cannabisreports.com/strain-reports/elite-seeds/twisted-purple-ogk,https://www.cannabisreports.com/images/strains/3/full_3178c45440fb2a65962c4fcfa7b3e7e5ce3676c3.jpg,Elite Seeds,4JDXY00000000000000000000,Sour Diesel / Bubba Kush / OG Kush,9XVU7KVPFZ000000000000000 / 9XVU7FNJZR000000000000000 / 9XVU7GD2AP000000000000000,18
Colombian Red Haze,9XVU76FMQA000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/colombian-red-haze,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,18
